Рік,Бал,Область
2019,131,Вінницька область
2019,137,Волинська область
2019,128,Дніпропетровська область
2019,111,Донецька область
2019,131,Житомирська область
2019,132,Закарпатська область
2019,118,Запорізька область
2019,135,Івано-Франківська область
2019,130,Київська область
2019,131,Кіровоградська область
2019,116,Луганська область
2019,142,Львівська область
2019,154,м.Київ
2019,118,Миколаївська область
2019,123,Одеська область
2019,124,Полтавська область
2019,133,Рівненська область
2019,123,Сумська область
2019,132,Тернопільська область
2019,134,Харківська область
2019,121,Херсонська область
2019,132,Хмельницька область
2019,124,Черкаська область
2019,132,Чернівецька область
2019,130,Чернігівська область
2020,134,Вінницька область
2020,135,Волинська область
2020,139,Дніпропетровська область
2020,127,Донецька область
2020,132,Житомирська область
2020,134,Закарпатська область
2020,124,Запорізька область
2020,142,Івано-Франківська область
2020,133,Київська область
2020,136,Кіровоградська область
2020,132,Луганська область
2020,148,Львівська область
2020,155,м.Київ
2020,135,Миколаївська область
2020,127,Одеська область
2020,130,Полтавська область
2020,142,Рівненська область
2020,137,Сумська область
2020,140,Тернопільська область
2020,140,Харківська область
2020,131,Херсонська область
2020,134,Хмельницька область
2020,133,Черкаська область
2020,140,Чернівецька область
2020,133,Чернігівська область
